iter	Passed	Remaining
0	10	10668
1	17	8798
2	25	8485
3	32	8054
4	41	8241
5	48	8086
6	56	8070
7	64	7936
8	73	8072
9	82	8123
10	92	8335
11	102	8465
12	111	8454
13	121	8521
14	129	8473
15	139	8574
16	147	8514
17	158	8627
18	167	8656
19	175	8596
20	184	8592
21	192	8546
22	201	8562
23	210	8541
24	219	8541
25	226	8499
26	236	8513
27	244	8487
28	254	8530
29	263	8511
30	272	8532
31	282	8534
32	289	8497
33	300	8526
34	308	8508
35	317	8509
36	327	8515
37	338	8563
38	348	8586
39	357	8571
40	367	8606
41	380	8675
42	390	8700
43	402	8744
44	413	8783
45	422	8757
46	432	8764
47	439	8724
48	450	8741
49	458	8705
50	468	8720
51	477	8706
52	486	8685
53	497	8714
54	505	8678
55	513	8660
56	521	8626
57	530	8621
58	539	8599
59	548	8589
60	557	8577
61	567	8582
62	577	8584
63	585	8563
64	595	8561
65	603	8539
66	612	8528
67	620	8507
68	631	8522
69	639	8492
70	648	8481
71	656	8455
72	665	8451
73	674	8436
74	682	8414
75	690	8392
76	698	8370
77	707	8358
78	714	8333
79	723	8324
80	731	8299
81	740	8287
82	748	8264
83	757	8265
84	765	8245
85	775	8239
86	783	8224
87	795	8245
88	807	8264
89	817	8266
90	830	8291
91	840	8298
92	849	8284
93	858	8277
94	866	8256
95	875	8248
96	884	8231
97	893	8227
98	902	8211
99	911	8199
100	920	8190
101	927	8169
102	937	8162
103	945	8145
104	954	8136
105	963	8123
106	973	8128
107	982	8111
108	993	8119
109	1002	8111
110	1010	8095
111	1020	8087
112	1031	8092
113	1046	8134
114	1061	8172
115	1076	8203
116	1092	8243
117	1106	8267
118	1118	8280
119	1129	8286
120	1139	8281
121	1149	8270
122	1157	8255
123	1167	8244
124	1175	8228
125	1183	8211
126	1191	8190
127	1201	8184
128	1210	8170
129	1220	8167
130	1232	8176
131	1242	8172
132	1255	8184
133	1266	8186
134	1275	8172
135	1285	8164
136	1293	8146
